|review|airline
10|"I was on Air France website and was in the process of booking fares for my wife and I to Paris...  I intentionally started with the airfare, because we have the flexibility to travel at anytime.  So I found a fare from SFO to CDG on the 6th of September, for $667.00 per person for premium economy.  Located a return fare on September 19th, for $587.00 per person for premium economy.  Awesome!!!  
I was able to select my seats, for both flights 25G and 25H.  Good!!!
When I went to pay for the fares, their website came back with a &^*%$@ing Error!  I had to start over.  The only problem is they jacked up the departing fare to $1,557!!!   WTF!  Air France is a messed up company!  I really enjoyed them when we flew to Tahiti, but these kind of tactics are BS!  Don't Fly AIR FRANCE!

Update:  Called Air France this morning to speak to customer care.  Instead I ended up talking with a supervising agent.  I explained what happened yesterday and she was apologetic.  She asked if I still had the travel day flexibility I mentioned above.  With that, she was able to find me the prices I was looking for on slightly different days.  I tried doing that yesterday, but was not as successful as her.  She really worked the software over to find me seats at the prices I had found before.  Thank goodness for all of you who still care about customer service.

Jeff W"|air-france
11|"Flew business from SF to Paris. It was a small 777.

Service was very good...I was flattered that they initially spoke to me in French but sorry I don't remember any of the French I learned in middle school. The seat was older but comfy. It is not Emirates which is my favorite."|air-france
12|"Beware of flying 777-300's from Paris to SFO, these are older planes....bathrooms are smellier and facilities not as nice.

Also the seat back pockets let everything slip out (not enclosed), don't put your cell phone or anything important in there!

Food here does have a certain level of class that's ahead of most airlines."|air-france
13|"NEVER EVER FLY WITH THIS TERRIBLE AIRLINE!! The 3 times I have used them, my baggage was lost TWICE and the second time I didn't get my bags for THREE DAYS!!  They promised to call and email me and did absolutely nothing but get pissed off at me for being upset. Well try being in a foreign country and all your stuff missing except the clothes you have on for 3 days!  They are absolutely dumb and don't give a hoot about your concerns!

Never fly AIR FRANCE!!"|air-france
14|Flight was ok. Not much to complain about but the food was pretty bad for airplane food.|air-france
15|The worst airlines ever. Systems are always down and they calculate fare change manually. I would really recommend Turkish airlines instead.|air-france
16|"Alan and I flew Air France Business Class yesterday from SFO to CDG in Paris.  Our experience was excellent from start to finish.  The woman who checked us in was very helpful, offering to call wheelchairs because the walk to security was long and the lines had been extremely long.  She did, but after waiting 15 or 20 minutes for the wheelchairs we decided to chance the walk.  As it happened, the walk wasn't that long, however, the lines were.  Alan did some scouting and found a very helpful man who directed us to TSA Pre Check, past the long lines.  Once in the Pre Check line we were erroneously directed to remove the laptop from Alan's carry-on, but a wonderful woman, Rosario T, took me under her wing and guided me through.  She deserves a separate review.  Just past security is the Air France/KLM Lounge, where we were welcomed.  The lounge is large, larger than we knew, w/ sandwiches, fruit and other food.  There's also an assortment of wines.  The woman at the front desk said the walk to the gate was a long one and ordered us two wheel chairs.  We were picked up a while before the plane started boarding and it was really helpful, as the walk would have been long and complicated w/ changes of levels, etc.

We boarded through one of three doors.  One of the flight attendants took my bag and helped me put it in the overhead bin.  The very best part was how mindful they were of Alan's need for a low sodium diet.  The meals were tasty and well prepared and he was very pleased.  My meals were quite good as well and my expectations for airline food are pretty low.  I had wanted scallops, but they were out, so I had beef and it was tender and cooked perfectly medium rare.  There were several courses and each one was good.  My only complaint would be that the champagne and the white wine weren't cold enough and the water for the tea wasn't hot enough.  Small complaints.  I skipped the morning meal because I'm never hungry in the morning.  We had wheelchairs ordered for CDG and so we had to wait aboard for them after we landed.  When they arrived the same flight attendant who helped me in helped me out.  There is a large flight crew and we were well attended.  Interestingly, none of the crew wore name tags, just patches reading ""Safety and Security"".  We've not seen that before."|air-france
17|"Air France, I want you to know that you have been absolutely fantastic. I will always seek out your airline and recommend it to everyone I know. I had to re-schedule my flight due to unexpected illness in my family and your representative here in the U.S Kristen/with Delta, was kind and understanding. So helpful and just human. She made this the best experience, better than anything I could imagine with any company. The help you have provided will allow me to take care of my family and turn an incredibly stressful day into worry free travel. Thank you Kristen and thank you Delta and most importantly, thank you AIR FRANCE. Merci beaucoup!

I am sorry I did  it get Kristen's last name, but if you can identify her, please tell her she has made a difference in two continents and all of our family thanks her from the bottom of our hearts."|air-france
18|Air France delayed us by a day for our flight, but then offered nothing for doing so. We were given vouchers for a bottom tier hotel, and had to spend a good 8 or so hours dealing with incompetent employees who spoke incomprehensible English. Book at your own risk|air-france
19|"Delayed over an hour, staff speaks incomprehensible English, staff consistantly gave incorrect or false information about why people had to move seats.

Often, the pilot gave directions or information in French with no English accompaniment.

I would highly encourage all fliers to avoid Air France in the future"|air-france
20|"After choosing our vacation flights, times comes to check in on line, where the misleading started. Offered for upgrades to business and we selected SFO to CDG 11 hours segment, and was successful transaction, however when we get to save boarding pass it show the upgrades was for different segment of our trip 5 hrs.

90 minutes on the phone to get to someone and in the end they fake us and let us to believe the problem was resolved and they upgraded the correct segment. At the airport there was nothing in the system and no one can help ""nothing we can do"" they said, we lost such $$$ for upgrades and got faked by customer service so we can put good survey answers on the feed back call.

My advise, never use their fake upgrades till you absolutely sure, even though you not protected."|air-france
21|"Very bad counter staff,  booked flight from sfo 7/1/12 with prepaid extra luggage for $60, however when we got to the counter  
with one more bag they insist on charging $200 per luggage, I had to get he manager to read the company charge codes to believe me. The lady didn't apologize either"|air-france
22|"I am beyond disappointed and mad with my last experience with Air France.
It was an unacceptable experience that I was victim of and I am surprised to witness the lack of care or follow up on my case.

My only desire was to book a ticket in premium economy for both my parents, as a surprise to come visit me in Miami (from Paris).
I booked online on air france web site. I decided to chose premium economy category class.
The return flight had a stop via Atlanta.
As my parents always travel with their small dog, this is the first thing we did after I booked the flight: reserve the dog.
The AF agent assured she will be taking care of reserving the dog on both legs and will follow with a confirmation. Also asked for payment for this trip, which was done.

3 WEEKS later ! we hear that the dog is NOT ALLOWED in premium economy class (only) on the return flight who is operated by Delta airlines.

I was left with no other options than paying $1,200 MORE and have the flight changed to coach category !!!
3 weeks past the date I booked increased the tickets of all flights and this was the only option ! and now, my parents have to travel coach on a ticket that ended up costing me a fortune.

As a executive platinum member with American Airlines I can say I travel quite a bit and this leaves a bad taste to me and my parents.
Embarrassing service for the company ! I dare AF to send me their automatic feedback on my experience link this time around!"|air-france
23|"This is the worst airline when it comes out to luggage handling.

On my 3 last connecting flights they dumped my luggage in Paris since they constantly have a baggage overflow.

Even though they promised me my bag the day after they did not put it on a flight until one week later.

I called them every day and they could not even answer where my bag was.

You even start wondering if they specifically target travelers with non sounding French names since it seemed to be only me and Americans that did not get their ""lost""

Never going to fly connecting flights with them again."|air-france
24|WOW does this airline suck. They lost our luggage and then were major jerks about it. Lowkey this airline is worse than even United. It's kind of nice that they give you blankets, sleeping masks, and headphones free in your flight. They also give you complimentary alcohol, probably because they think that will prevent people from reviewing them like this. I guess a perk is that supposedly they have cheaper flights to France.|air-france
25|"This is the worst airline in the world!
Due to weather delays I got to the checkin counter 5 minutes late --
still 55 minutes from departure time (that was going to be late anyway)

They refuses to help at all, let alone get me on my flight.
The supervisor at SFO seemed almost happy that I just lost over $4000
He said ""There is nobody here to help you. I suggest you call the 800 number"".  He was standing in front of a terminal at the time.

I will never use this airline again.
They hate their customers and it shows."|air-france
26|They will lose your baggage. They will mess up your special meals. They will then be arrogant and unhelpful. Do not use this airline.|air-france
27|"Air France does not even deserve 1 star! I flew from Paris to LA and had the worst experience with them. They literally ruin your vacation! First of first they lost my double stroller and no one takes responsibility for it. I pre ordered kids meal for my kids ( breakfast and dinner) and they only provided dinner, when it was breakfast time they said they only provide kids meal once! Are u kidding! At lease let me know in advance so I come on board prepared! So during the whole 11 hours flight my kids had only one small meal!
Also in CDG airport we had a miserable time! Had to wait outside the building in the heat to get on shuttle and they drove us to the airplane! Like seriously are we in 19th century!
Never fly with them again"|air-france
28|"After flying KLM from SFO to DEL, I had the same high expectations from DEL to SFO.
We got called in the lounge that the flight was boarding so I headed to the gate. The business class folks had a separate entrance/gate. When I sat down, the first thing I noticed was the 2-3-2 layout. I am so happy that I didn't have the middle seat, just seemed annoying. Anyhow, the attendant helped me put my bags again (nice of him). We got our little bags and shoes and were on our merry way.
The food was ok, nothing amazing. No chocolates like KLM after your meal. They did have snacks setup in the galley, drinks, snacks etc.
However, the biggest things I noticed was the lack of service as compared to KLM. You were not served as a multi-course meal as on KLM, but given all courses at once. Also, they didn't have as many offerings. I also noticed that though they listed snacks they had on board, they were not available. The attendants were nice and friendly overall, but the service was again lacking on both Air France flights.
The flight from DEL to CDG was the 2-3-3 seating, but I did notice that the bathroom was a tad bigger with Clarins products. The flight from CDG to SFO was the 1-2-1 private suits. Both sets of beds were lie flat.
The most annoying thing, was they didn't have extra water bottles. I drank my water from CDG to SFO and tossed the bottle. When I asked for an additional bottle to carry during customs I was told there are no more. Seriously? No more water bottles? Absolutely ridiculous."|air-france
29|"This is absolutely a horrible experience for our family flying from LAX TO CDG, PARIS, FRANCE and from CDG, PARIS, FRANCE TO LAX. As a family we purchased our tickets with FLIGHT INSURANCE AND PREPAID FOR OUR SEATS ROUNDUP. I'm a heart patient so I requested bulkhead accommodations for leg room purposes and the ability to go to the closest restroom or toilet.

FROM LAX TO CDG, PARIS, FRANCE my rating would be a ONE STAR. At the Air France counter since we're English speaking and the lady who helped us spoke very good English, she accommodated us on the bulkhead seats but obviously I had to stress the fact that we prepaid for our seats and kindly asked her for a bulkhead seating (family of three for leisure travel). She went out of her way for a supervisor to accommodate me. I was happy and thankful. Their product and service meaning their food, beverage and how they treat you going to Paris was a one star experience because instead of serving us our snacks and beverages, the flight attendant decided for us to get out of our seats and get it ourselves. WHAT?!

The flight back from CDG, PARIS, FRANCE was horrible. They could've handled our cancelled flight better but the way they handled it was awful. They had us lined up standing for a good hour only to find out their computer wouldn't boot up. Sit for another hour then line up. After three hours they had us all board the plane then after an hour all of us had to get off the plane because LAX had computer problems and LAX wouldn't be able to receive us. Flight was cancelled after 9 hours. They had so many changes that even though they offered us a hotel we could no longer trust their process. Flight was for the next day at 10:20 a.m, we did NOT want to miss the flight. I pleaded for bulkhead seats but they couldn't accommodate us, I needed my family to always be with me since I'm a high-risk heart patient. One carry on was an inch short of passing the test, the charge was 50 EUROS about $57! I pleaded with them to let this carry on luggage go but their concerned was to their own service not to our needs.

DO NOT PREPAY FOR SEATS! Waste of money!!! In case of a cancelled flight your PREPAID SEATS have no bearing as to where you'll be seated!!!

DO YOU NOT BUY FLIGHT INSURANCE!!! This is a waste of money, an upsell that WILL NOT guarantee you any money back due to cancelled flights thus you missing an appointment like such as my ICD to be checked, which I missed.

BUY YOUR OWN FOOD AT THE TOM BRADLEY INTERNATIONAL TERMINAL AND BRING IT ONBOARD!!! Food is horrible!!! Believe me I have good taste in food same as you!

AIR FRANCE IS MOST CONCERNED ABOUT THEIR PRODUCT AND SERVICES RATHER THAN FOCUSING ON YOUR CONCERNS. PLEADING FOR ANYTHING IN PARIS, FRANCE AT CDG AIRPORT WON'T DO YOU ANY GOOD.

Too bad the French people in Paris are super nice, the waiters/waitresses  are super nice. The restaurant service is excellent and fast and the food serving is huge! But again too bad with AIR FRANCE'S PRODUCTS AND SERVICES they're horrible!!! They're more concerned about their own rather than your needs. When we opted to sleep at the airport, they didn't offer us blankets and pillows instead some snacks which were horrible as well as their service!!! I WOULDN'T FLY AIR FRANCE IF THEY'RE THE ONLY CARRIER IN THE WORLD!!! POOR!!! POOR!!! POOR!!!"|air-france
30|Air France is truly an elegant airline with many flight connections available out of Europe. Paris CDG may be a better hub than London LHR, so AF as the airport host is excellent for connecting flights. Nice meal choices especially for business class and the amenity kit is quite colorful and nice for future use. Happy to see they improve the business class cabin to cubicles and La Premiere on the new 777 aircraft. Courteous staff to help me out flying out SFO, always passionate. Merci, Air France!|air-france
31|"HORRIBLE EXPERIENCE!
Business class flight from Paris (CDG) to LAX.  Starting with 'Sky Priority' check-in the service on this airline is horrible!  Took over 45 minutes to check-in, because there was only 'one' attendant!  
The flight was almost 12 hours long.. but NO Wifi, Seats did not lay flat, one bathroom in business class section.. they ran out of food for the dinner service.  TOO much money to be treated so poorly!"|air-france
32|8 hour international flight delay, involuntary downgrade, switched airplanes, and lost all of our luggage. Still without luggage and we are flying somewhere else in about an hour. Thanks AirFrance!|air-france
33|"I booked with Delta expecting Air France to be of similar quality. I was wrong. For the price paid to travel in business I'd expect more. To be honest Delta comfort is just as good. Both flights were delayed, for a 10 hour flight SFO - CDG you get offered a drink twice.....

First and last time I'll fly with Air France."|air-france
34|"A fancy in-flight security video doesn't mean the flight is necessarily comfortable and/or the customer service is fancy ! This summer was the first time we were flying Air France, we checked previous reviews and had reservations about booking with Air France. Still we gave them a shot! On our flight back from Europe to USA , our pre-selected seats were changed by the airline and we were seated in the emergency isle. Not complaining, but a notification the least we could expect. The tv screen for the middle seat assigned to us was broken and did not stay in place... we requested to be seated elsewhere as it was a 10 hour flight. Instead we were provided with a ""tape"" to fix the broken Monitor ... once the tape was applied , it became impossible for the person to get out of their seat ( as the screen would not bend anymore!!!). The flight attendant saw us struggling many a multiple times- how it was impossible for us to move around- didn't do anything about it, even after multiple requests!

When we arrived, our luggage was missing. There was no Air France representative available, we had to go to some other counter to get information. Needless to say we never got our luggage back - all the souvenirs gone!!! The amount they reimbursed was useless as it did not even begin to cover the losses we incurred. We had to call them ourselves 10-15 times to inquire about this lost baggage.. they stopped looking for the baggage after a few days- saying it's their policy!!

I would rather pay for an expensive fare than chose Air France ever again!"|air-france
35|"The WORST customer service I have ever experienced.  I was flying from Paris to NYC on an evening flight, and had booked an aisle seat, because of a bad leg.  When I was boarding, I saw my name on the electronic board behind the service desk, asking me to speak to an agent.  No one had paged me.  Now, no one was there, and the flight was boarding.  I spoke to three boarding agents - no one knew what to do, but I got on the plane, and buckled into my seat.

Within 5 minutes a very loud passenger approached me  EXCUSE ME SIR WOULD YOU MIND EXCHANGING YOUR SEAT WITH MY FATHER?  I explained to him that I would rather not, because of my leg injury.  He then yelled WELL MY FATHER HAS A LEG INJURY TOO.  I expressed my sympathy, suggested he speak to an attendant, and hoped he found an appropriate seat for his father.  He then EXPLODED with curses,  anger, and anything you could think of, in the aisle.  I looked to the flight attendants for help.  NO ONE would help.  I was told  ""we do not get involved in seat inquiries between passengers.""  I found that odd, because I SAW the crew help with three other exchanges.  Meanwhile, the passenger was getting louder and louder, and annoying all of the other passengers in the vicinity.  To shut him up, I changed seats.  NO ONE came to speak with me,  through the entire flight.  

I thought it was the crew's job to take care of things like this.  One wonders why they wouldn't help.  I will not fly Air France again.   This was my first trip to France, and this flight nearly ruined it."|air-france
36|I kept seeing a pop up on my screen, Papeete to Los Angeles round trip, 51,000 francs ($510.00 approx)  I clicked on it and went to the site. I tried to make a reservation and it was almost $900. Fraud, plain and simple. they do it all the time. Will never use them. Total fraud. They should be sued.|air-france
37|Very horrible customer service. I wouldn't try them again at all. Definitely recommend anyone thinking of going with air France to cancel it and choose an other airline.|air-france
38|"My husband and I were headed on our honeymoon, two days after our wedding. I was checking us in online in the car to the airport, and because of the confusing layout of the check-in flow, I accidentally selected 2 additional checked bags, and paid $180 total for them.

When we got to the airport I realized my error, and called the 800 support number to seek a refund - We did not have additional bags to check. After being on the phone for about 10 minutes, I was told that I would have to claim my refund from the website, so I emailed from the website. From the website, I was told that I needed to contact a different support center. I emailed the second support center and was told that I needed to call support to claim my refund. When I made the phone call, I was told that I needed to email ANOTHER support line to make this claim. In response to my final email to the THIRD support team, I was told that these fees are non-refundable, and simultaneously, I received another email apologizing for our difficulties, and that they would be forwarding our case to the appropriate teams (not only did they provide incongruous information - there has been no action).

Despite frequent follow ups on our end, we have heard nothing from Air France, or Delta who is supposedly helping us for this claim. It is sickening that they can get away with this. I was told no fewer than three times that Air France COULD refund me for this error, yet they have made it nearly impossible to do so.

Long story short - AirFrance has taken $180 and made it impossible to figure out a refund nor given us a remotely appropriate customer service response. It was not our fault we accidentally paid for extra baggage as their website made it look like it was required. The effort it has taken to get information on this issue makes it seem like AirFrance has intentionally stolen the $180 from us.

We are STILL waiting for a resolution - but wanted to warn other potential customers in the meantime.

We will NEVER fly this airline again."|air-france
39|"Terrible customer service from check in to baggage retrieval.
Staff does NOT care about customers and very disrespectful.  Poor poor airline.
Think twice before booking with airfrance"|air-france
40|"Flew a Boeing 777/200 from Paris to Atlanta.
Was Economy/Coach Class. The seat in front of me leaned so far back into my lap that with
my tray down, I could not stand up the water bottle given by AF. I even had to changed my reg. vision glasses to my readers cause the screen was so close...I had to lower my seat just to accommodate the seat in front of me....8 hrs of this! I couldn't walk down the aisle w/o turning sideways ( I am size 12/14 avg) lest pull a small carry on...they need to change it.
My trip cost over $1300 & this is unfair....."|air-france
41|"Good food and service in the plane, especially with young kids.
Terrible online and on the phone reservation system.  Always making errors, splitting families, unable to process at times.  Horrendous!"|air-france
42|This is the very definition of your worst nightmare for an airline. They destroyed my luggage and refused to pay for it. Numerous calls and efforts and they still didn't take care of it. Customer service was horrible and they are always lying and so rude and obnoxious. The stewardess on the flight  are so racist. The customer service representative were equally racist. The racism of air France has to addressed.|air-france
43|"Air France is a joke! They are so crooked when it comes to checked vs carry on bags! They conveniently use a slightly smaller standard than any other standard carry on luggage.  Thus your standard carry on bags that work in the USA and Asia will NOT fit. What does this mean?  Get your credit card out and stand in line to give them more money to check your carry-ons!   Their staff is typical French rude... go away stupid non-French person.  And boarding... talked about totally inefficient and ineffective. Please come to America and see how it can be done by flying on Southwest Airlines!  If you can avoid it, fly another budget airline.

Update:  If you are buying luggage in the USA, double check your carry-on size.  The USA standard (at least at Costco) is larger than even the TSA regulations, which are larger than the crooked Air France standard."|air-france
44|"Air France is such an amazing airline in Coach. I will go out of my way to fly on Air France from San Francisco. I was first introduced to Air France back in 1998 on my Family's trip to Paris when I was almost 14. Even back then the service was great.

I had an opportunity to fly them internally as well.   Last year when a relative was ill and my Father and I had to fly abroad on a short notice the flights on Air France were amazing. The free flowing Champagne, spirits , and the delicious Poivre(Pear) Liquor) was beyond amazing. All this in coach plus the sandwiches, Lifeways Kefir and Ice Cream in the galley.

Because of the good service I am going out of my way to fly them again this summer from SFO-CDG-SFO on their Airbus 380 which I hear is better than the 777 we were on.

I love the simplicity to checkin online and then go to the Bag Drop at SFO. Everyone is friendly from the team at SFO(including the Air France lounge) to the Flight Crew.

What more  can you ask for watching good movies, listening to good music and sipping on good Red Wine or Champagne that is free flowing. We're not talking Sparkling wine we are talking about the real stuff.  If you know some French you will get even better service.

A simple Si vous plait and Merci with a smile will go a long way.

The price is the same to fly on Delta with a stop but I will drive from my home in the South Bay Area to SFO where customs is a breeze with the Automated Passport Control Kiosk. Checking in at SFO is  very simple and the security lines are not that bad.

I highly recommend taking the first Air France flight especially on a Friday over the second one. Plus you will arrive CDG at 10:40 AM and on the return take the 10:15 AM flight arriving SFO at 12:30 PM.  Yes it means for an early morning but if you can get a shuttle arriving CDG around 6:45-7:30 AM you are good to go.

Yes you may have to pay for a seat assignment. But you can also get it 30 hours before at online checkin but its best to purchase a seat to avoid the middle seat.

Air France has Les Direct Buses from Charles De Gaulle to many points in the  city but if you are 2 or more just take a taxi or shuttle. You can also transfer to Orly.

Some of the reviews on Yelp have said the crew is cold and mean. I have found that to be far from the truth. I love talking to the crew in the galley and practice my French. They are so helpful again knowing some French will get you better service. You will be very pleased that you chose to fly on Air France. With cities throughout the world and codesharing with KLM and Delta you will fly to far away places but be sure when booking a Codeshare that its operated by Air France. Don't get stuck on an Air France flight operated by Delta(I'm not saying Delta is bad as they include alcohol  and other features) but Air France gives you more service for the buck.

Ce'st si Bon(:"|air-france
45|"#160

This is a tough one.

I love to travel.  I do it often.  I am aware of my favorite and least favorite airlines.  I have actually never traveled with Air France until this month.  Will it be the last time? IDK...

First of all, who does not want to visit Paris, even if it is for an overnight layover?  I kind of scheduled it that way so I could see a little of Paris while I awaited my flight back to the States.  Well, bad idea.  

The flight was ""okay"" and the food was ""okay"" but the flight attendants were jerks at several points throughout the flight.  Now, my mother would say, ""That is because we are French and blah, blah, blah..."" but I think no matter who you are and where you come from--BE NICE!!!

They did get my luggage through safely and securely, the movies offered were great.  I enjoyed my travel space as I upgraded, but I just thought the attendants were SO SUPER RUDE.

Would I fly Air France again?  Not if I have a choice.  

Stephani Slightly Smiles for Air France ;-/"|air-france
46|Idont recommend that flight to any one .. it's not secure especially if u landing in CDG in Paris airport .. it's out of control  no police in airport .. trash air line.. be aware|air-france
47|"Not a great trip with Air France, both on the way to Vienna (transfer at CDG Paris) and on the way back.

The trip there started out ok, however there seemed to be much confusion and the boarding process was much more lengthy due to that. Once on board, the flight to CDG was ok. Three in flight meals from Chicago to Paris. The food was just ok, nothing to write home about and I am glad we were served quite efficiently. There was on board entertainment. Once we made a mad dash due to arriving slightly late in Paris we just made our connecting flight to Vienna.

In Vienna, we discovered that all of our Bags were NOT transferred from Air France to Austrian Airways and we did not get our bags until the following day.

The trip back was worse. We boarded in CDG Paris and my mother-in-law was asked to deplane as she had been selected for a random security check. The attendants were rudely asking her in French to deplane, when I intervened and explained to them in French that she does not understand what they are saying and could I accompany her off the plane? I was told no, that she needed to take her belongings and deplane immediately. Her and another passenger both in their 70's were escorted off the plane only to be brought back on the plane 15 minutes later. They announced afterwards that the flight would be delayed because they had not completed the security check properly.

Once in flight, our entertainment did not work properly. We were unable to watch movies or TV for half of our total flight time. I would definitely not book with Air France again even though their prices were a bit cheaper, it is just not worth it for long flights to skimp."|air-france
48|"The flight itself both ways to and from Paris was smooth, and flight attendants pleasant and efficient.  The issues we had were specific to the airport:
On our flight to Europe via AirFrance we had no issues with any baggage or anything. However, at the CDG airport on our trip home, we ran into a major issue. We were never told, nor was it on our boarding pass - that our carry-on bags had to be 12kg or under limit! We checked in, and the ladies there actually told us to take luggage out of our checked bags because our checked baggage was over 23kg. Why would you tell us that if we cannot have over 12kg on a carry-on?? We were forced to check another bag for $80USD - without warning ahead of time, and there was no way they would let us onto the flight. This is completely unfair, we had to pay for a 3rd bag we were not given advance notice on - which was a nice Tumi suitcase we never check because how nice it is. Of course the bag came out of the trip with many scratches - which was not planned.
On top of this, the entire ordeal was rudely handled - the agents were too busy talking with each other and gave very little direction of what to do. We should not have been charged this extra baggage fee, as we were not made aware this rule even existed. Thanks a lot for a horrible ending to a great trip AF!"|air-france
49|My luggage were delayed in Paris on my flight to Vienna from SFO. The day after they were delivered to me in Vienna and I had no problem getting in touch with air france customer service. They are going to refund me for the clothes I had to buy. Great experience compared to the one I had with Lufthansa last year. Luggage delayed in Munich. I spent probably 120 hours with Lufthansa to locate my luggage. I had to deal with their customer service in the UK. The one in Germany would simply not pick up the phone. They have another one in Asia that has no clue what they are doing. They managed to lose some of them a second time after they have been found. Horror story !! I had to use the call center of united to locate some of these luggage. The first flight was on united. The last luggage was finally sent back to me in SFO but Lufthansa would not tell me because they did not want to pay the delivery service. I had to put a complain to the department of transportation to get them to react. This worked since I got immediately a phone call from them several days after. It took me 2 months to get my luggage back. Therefore, I really appreciate the service I had with Air France.|air-france
